Sr. No.,Jun DUNs,May DUNs,legal_nm,dba_nm,alt_bus_nm,bus1_address1,bus1_address2,bus1_city,bus1_state_cd,Action Code,Action Code Details,Final DUNS,Comments,Weblinks,June/May,Location,Company Name on D&B,Address on D&B,Contact Number,DUNS As Per CP,Headquarter DUNS
,616878195,618244045,R L JAMES INC GEN,R L JAMES INC GEN,,13751 JETPORT COM PK,,FT MYERS,,D,After research on the web found possible DUNS,616878195/618244045,"On hoovers for JUNE DUNS we found company name ""  R.L. JAMES INC. GENERAL CONTRACTOR "" and address matches partially/completely and for MAY DUNS we found company name "" R.L. JAMES INC. GENERAL CONTRACTOR "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Headquarters/Branch,R.L. JAMES INC. GENERAL CONTRACTOR,"13751 JETPORT COMMERCE PKWY, FORT MYERS, FL",2399366002,616878195/618244045,616878195
,79524137,142009005,CYPRESS HEALTHCARE,CYPRESS HEALTHCARE,,4 W RED OAK LN STE 201,,WHITE PLAINS,NY,D,After research on the web found possible DUNS,79524137/142009005,"On hoovers for JUNE DUNS we found company name ""  CYPRESS HEALTH CARE HOLDINGS LLC "" and address matches partially/completely and for MAY DUNS we found company name "" CYPRESS HEALTH GROUP, LLC "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Single Location/Headquarters,CYPRESS HEALTH CARE HOLDINGS LLC,"4 W RED OAK LN STE 201, WHITE PLAINS, NY",-,79524137/142009005,142009005
,839969164,35808708,FHLB OF CHICAGO,FHLB OF CHICAGO,,111 E WACKER DR STE 700,,CHICAGO,IL,A,Accepted original DUNS based on input data given,839969164,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location,FEDERAL HM LN BNK OF CHICAGO,"111 E WACKER DR STE 700, CHICAGO, IL",3125655813,-,-
,126804124,622438471,SAN DIEGO SATURN,SAN DIEGO SATURN,,1375 E MAIN ST,,EL CAJON,CA,A,Accepted original DUNS based on input data given,126804124,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Branch,"SAN DIEGO SATURN RETAILERS, INC.","1375 E MAIN ST, EL CAJON, CA",6194426135,-,-
,1331032,791190833,CRODA INC AMEXMR,CRODA INC AMEXMR,,300A COLUMBUS CIR,,EDISON,NJ,D,After research on the web found possible DUNS,1331032/791190833,"On hoovers for JUNE DUNS we found company name ""  CRODA, INC. "" and address matches partially/completely and for MAY DUNS we found company name "" CRODA FINANCE INC. "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Headquarters / Single Location,"CRODA, INC.","300 COLUMBUS CIR STE A, EDISON, NJ",5707487796,1331032/791190833,1331032
,626476159,22856939,EAGLES LANDING FAMIL,EAGLES LANDING FAMIL,,62 KELLY RD,,MCDONOUGH,GA,B,After research on the web accept original DUNS,22856939,We could find different company name with JUNE DUNS where address matches partially. For MAY DUNS we could find input company name and address matches.,,May,Single Location,Eagles Landing Family Practice,"62 Kelly Rd Mcdonough, GA",770-914-0116,-,-
,33093287,106294655,NEWTON WALL COMPANY,NEWTON WALL CO,,PO BOX 1247,,SHAWNEE,OK,A,Accepted original DUNS based on input data given,33093287,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,http://www.newtonwallcompany.net/,June,Headquarters,NEWTON WALL COMPANY,"1600 N HARRISON ST,SHAWNEE, OK",4052751582,-,33093287
,130064327,615099009,CARL GREGORY DODGE,CARL GREGORY DODGE,,3000 N LAKE PKWY,,COLUMBUS,GA,C,After research on the web found better DUNS,79676733,"On hoovers for JUNE DUNS we found company name "" CARL GREGORY HYUNDAI "" and address matches partially and for MAY DUNS we found company name "" Carl Gregory Dodge of Columbus Inc "" and address matches partially. After research on web found better dUNS with company name "" v "" and address matches completely.    ",,-,Single Location,"CARL GREGORY CHRYSLER, JEEP, DODGE, HYUNDAI, INC.","3000 N LAKE PKWY BLDG 100, COLUMBUS, GA",7065684900,79676733,-
,79816769,153376520,SOUL CIRCUS INC.,SOUL CIRCUS INC,,230 PEACHTREE ST NW,,ATLANTA,GA,A,Accepted original DUNS based on input data given,79816769,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location,SOUL CIRCUS,"230 PEACHTREE ST NW,ATLANTA, GA",4045881235,-,-
,69044279,24312027,AMER INSTITUTE CPCU,AMER INSTITUTE CPCU,,720 PROVIDENCE RD,,MALVERN,PA,A,Accepted original DUNS based on input data given,69044279,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"AMERICAN INSTITUTE FOR CHARTERED PROPERTY CASUALTY UNDERWRITERS, INC.","720 PROVIDENCE RD STE 100, MALVERN, PA",6106442100,-,69044279
